a,h,g0,n,d_out,sensitivity_kHz_kPa,f0_MHz,linearity_R2
5.123089235108848997e-04,9.218694947302583803e-06,4.731577979193759206e-06,1.400000000000000000e+01,3.385710728368183150e-03,-1.049119098006393187e+03,1.800597298480863060e+02,9.394041808762352286e-01
4.400188257104715962e-04,1.116756722810040024e-05,3.668870691435555163e-06,1.900000000000000000e+01,3.938654354580262487e-03,-1.905385669275109137e+02,1.317391957554009991e+02,9.980121079918539140e-01
5.710755011246011151e-04,1.117545974612146820e-05,4.385978915686837714e-06,1.800000000000000000e+01,3.527335430804979730e-03,-5.946462557547838514e+02,1.199847181509697407e+02,9.632460658328696468e-01
4.749110519084255902e-04,1.040085410289108752e-05,4.156771382381877507e-06,1.700000000000000000e+01,3.740345839709563122e-03,-3.465748708890025114e+02,1.468987531663049708e+02,9.941737169035028687e-01
4.593018300767966449e-04,9.010284696168395564e-06,3.980971329855833780e-06,1.600000000000000000e+01,4.929008281393123560e-03,-5.741528608808706622e+02,1.474242490560670547e+02,9.807867557283155291e-01
5.776020770971294384e-04,1.099069683598061272e-05,4.861459149681433665e-06,1.700000000000000000e+01,3.198326114447618516e-03,-6.572435201420624935e+02,1.347212077464673712e+02,9.648674290056553637e-01
4.005739569865774817e-04,1.115895549919134712e-05,3.375790244140309433e-06,1.700000000000000000e+01,4.491484523173796400e-03,-1.557315733515443412e+02,1.502216936347965373e+02,9.990192730905383955e-01
5.347118095535336900e-04,1.104276157885823213e-05,4.810776556535243339e-06,1.300000000000000000e+01,4.511564429510265054e-03,-5.080744473941317665e+02,1.754755280737473129e+02,9.906652299594980171e-01
4.337358508121801830e-04,9.543227778614778343e-06,4.035575424789930810e-06,1.800000000000000000e+01,4.049345189778444029e-03,-3.144124544168732882e+02,1.469998781336833531e+02,9.953261860317319520e-01
4.316719517877623275e-04,8.337169044236731656e-06,3.534452883349684500e-06,1.400000000000000000e+01,4.131442138236914030e-03,-8.331195593366403500e+02,1.768710234899569969e+02,9.681730097268627100e-01
4.811821368298984606e-04,1.022963277806423344e-05,4.363610334993797112e-06,1.500000000000000000e+01,4.918156986944473980e-03,-3.987668596448735343e+02,1.572467464241206301e+02,9.931332552868198382e-01
5.879819287703261710e-04,1.101619049500863509e-05,4.934180842877985946e-06,1.800000000000000000e+01,3.535328675657997341e-03,-6.738073881866127977e+02,1.235463779721285960e+02,9.510611519299756456e-01
5.974838781964669342e-04,1.170810092326551162e-05,4.968128074408961807e-06,1.300000000000000000e+01,3.382507785474275341e-03,-7.177255761657103221e+02,1.704038046442950929e+02,9.764732015715175129e-01
4.865798312497963767e-04,1.178634335702558184e-05,3.629427077732503717e-06,1.500000000000000000e+01,3.668241342347876646e-03,-2.993058574274495527e+02,1.524738617829033274e+02,9.961369017364785083e-01
4.934165920454227717e-04,8.962366232268773142e-06,4.397605352470288763e-06,1.800000000000000000e+01,4.796021035091880061e-03,-7.691165761411926951e+02,1.291804205277745154e+02,9.347733322218102492e-01
5.096851529126047347e-04,1.069061820431828210e-05,3.846921215751602774e-06,1.800000000000000000e+01,4.123641437293862518e-03,-4.275708287641780885e+02,1.216067322053287825e+02,9.851236853215887823e-01
5.222729959375724870e-04,1.059125728076493403e-05,3.818767294674222893e-06,1.300000000000000000e+01,3.145818935602880638e-03,-7.648144047032754997e+02,1.731817998795483788e+02,9.733170417153103049e-01
5.243099996026453786e-04,1.081923643534298633e-05,3.660642482418792457e-06,1.300000000000000000e+01,4.215507971416035567e-03,-6.934949286772963433e+02,1.588152808371458775e+02,9.741122975405810402e-01
4.517997992044468867e-04,1.174027588317247362e-05,3.802241652346207032e-06,1.400000000000000000e+01,3.401253214603283843e-03,-2.408579126530995609e+02,1.828673206387764765e+02,9.983726448133977138e-01
4.704311761752820410e-04,9.246864816761584890e-06,4.908600838747151428e-06,1.600000000000000000e+01,4.283233026632414162e-03,-4.803094098530016254e+02,1.658794667618945482e+02,9.906643389917123566e-01
4.001870966606735879e-04,1.094914748135906965e-05,3.639345948327458126e-06,1.600000000000000000e+01,3.781173394478208865e-03,-1.748602006130880966e+02,1.729007081276667179e+02,9.990689317488262722e-01
5.458931498490108983e-04,1.129615427537715983e-05,3.921172569376659201e-06,1.800000000000000000e+01,3.420094212189404761e-03,-4.878625509160739284e+02,1.194132916729699474e+02,9.782724631544931215e-01
4.459261394721411110e-04,1.131280861163812024e-05,3.667672032871575546e-06,1.800000000000000000e+01,3.038895177964525719e-03,-2.125461532775739215e+02,1.443926910117504860e+02,9.979355761357028287e-01
5.112474418500450972e-04,1.119253134296003854e-05,3.589432946927518197e-06,1.200000000000000000e+01,4.546521637614106028e-03,-5.525043090306896829e+02,1.713939102065060922e+02,9.879553316362280624e-01
4.636012643376225461e-04,8.401315216006487917e-06,4.681100316836183134e-06,1.400000000000000000e+01,3.240395683601337944e-03,-9.061741020102471111e+02,1.995354962013900604e+02,9.712198069609178086e-01
4.158400370352421179e-04,1.090283814685298941e-05,3.237553301721105869e-06,1.400000000000000000e+01,3.767033854906609407e-03,-2.509201518491904892e+02,1.795065204617327197e+02,9.981522281127593876e-01
4.055696046075360126e-04,1.076269943425149653e-05,3.100687319067325219e-06,1.800000000000000000e+01,3.746158147436925816e-03,-1.919751776753092827e+02,1.402637151284868935e+02,9.982336864711417457e-01
4.630866178005637224e-04,1.190255967380760432e-05,4.292588968331665909e-06,1.600000000000000000e+01,3.629851066442155508e-03,-2.003277576257116834e+02,1.637064838280871868e+02,9.986082533040127052e-01
4.181194327309400017e-04,1.067313759542552949e-05,4.374651611436617249e-06,1.300000000000000000e+01,4.867961316929505719e-03,-2.288550984709739566e+02,2.096641697031141405e+02,9.989069241227905849e-01
5.042745255089871054e-04,1.141868249299032303e-05,3.162539958954159429e-06,1.300000000000000000e+01,3.681413106157853041e-03,-5.195598890526308651e+02,1.583424031304837740e+02,9.874298119643263316e-01
4.334829382938250233e-04,8.623246606299879896e-06,3.378537094117647811e-06,1.800000000000000000e+01,4.603887120596068805e-03,-5.688792479147601853e+02,1.303100743272584907e+02,9.741296409607969053e-01
4.712500095026195463e-04,8.788338343602293852e-06,3.977022216474916456e-06,1.900000000000000000e+01,3.819638915394179927e-03,-7.180272064288004685e+02,1.289637699363727279e+02,9.477698836644945501e-01
