a,h,g0,n,d_out,sensitivity_kHz_kPa,f0_MHz,linearity_R2
5.000557194361808858e-04,1.029402282607742351e-05,3.255435013772395846e-06,1.500000000000000000e+01,3.761141525853381202e-03,-7.130309832537158172e+02,1.397558745635700461e+02,9.600066958732771383e-01
4.331268226701297046e-04,1.176029584687900701e-05,4.652796331853566197e-06,1.800000000000000000e+01,4.808745863743281446e-03,-1.304520490903236407e+02,1.512617560749652057e+02,9.993325533336021582e-01
4.682472740880134934e-04,1.085339563507119531e-05,4.448023892915160097e-06,1.300000000000000000e+01,4.322057859444881391e-03,-3.338927312852603677e+02,1.948106909951100079e+02,9.971310328298392811e-01
4.566309486414300823e-04,1.127297976875302646e-05,4.719652740511141165e-06,1.500000000000000000e+01,4.052843381505179428e-03,-2.247749428898572148e+02,1.811638887624247047e+02,9.985668461528635076e-01
4.372803214481135845e-04,1.004542170620208106e-05,3.272813443269015955e-06,1.900000000000000000e+01,3.258550768198061835e-03,-3.126331794149346024e+02,1.302048500866376344e+02,9.939371342518344976e-01
5.440072686708511893e-04,1.021724967550105056e-05,4.894303574058224548e-06,1.900000000000000000e+01,3.368104062380590513e-03,-5.869222320689810886e+02,1.272020122754978786e+02,9.699404934964100944e-01
5.761193725735752266e-04,1.128564860595220397e-05,4.084929390920066400e-06,1.700000000000000000e+01,4.599624619386267176e-03,-6.841064465039337392e+02,1.141814787569060456e+02,9.333328402529518231e-01
4.658434478294781094e-04,9.311410071892816894e-06,4.098095332147132373e-06,1.400000000000000000e+01,4.702305050228118913e-03,-5.921666318424648807e+02,1.707360382509954491e+02,9.856145218803089580e-01
4.899490566112312678e-04,1.134619101191252765e-05,4.242879670392534351e-06,1.300000000000000000e+01,4.004548200005666678e-03,-3.571165647731223771e+02,1.852405465713063109e+02,9.962878749375824183e-01
4.589742348715517462e-04,9.060124008461229486e-06,3.432404704939006400e-06,1.800000000000000000e+01,3.749215382198636641e-03,-6.469378254860654351e+02,1.303813172408441403e+02,9.631204458162659909e-01
4.996466325065465619e-04,1.064968601961397869e-05,3.217772658039784344e-06,1.200000000000000000e+01,4.377769009669515293e-03,-7.104699606029138295e+02,1.676772417491681040e+02,9.761006967367993337e-01
4.962749617411594746e-04,9.938272657224596308e-06,3.196395567626308994e-06,1.500000000000000000e+01,3.999044225153234808e-03,-9.183743433087648782e+02,1.376120369472673701e+02,8.994988430862899120e-01
5.395928434316411317e-04,1.169136023855548798e-05,4.951235558906160662e-06,1.600000000000000000e+01,3.211570091086455615e-03,-3.573704646957608588e+02,1.545195162339690569e+02,9.944299293198753942e-01
4.392037021127035237e-04,1.099788243897289295e-05,3.736677222937929225e-06,1.400000000000000000e+01,4.313654486580806996e-03,-2.619625278804152799e+02,1.768516296287635043e+02,9.979075763846191327e-01
4.357919898971181487e-04,9.292297057526965214e-06,4.190852924538206311e-06,1.700000000000000000e+01,4.985218791575632760e-03,-3.464311488566761454e+02,1.495670300774719124e+02,9.944112093156859400e-01
5.545217154588749642e-04,1.079043613989618793e-05,4.376112650333555916e-06,1.500000000000000000e+01,4.617875135507160632e-03,-6.742530066332748220e+02,1.390089703469664073e+02,9.654399771447741418e-01
4.088635298593820428e-04,1.196410783653357611e-05,4.898096220519598814e-06,1.500000000000000000e+01,4.951375458074436936e-03,-1.176436310247348587e+02,1.956982784014188894e+02,9.996836168351482810e-01
